id_equipo,nombre_equipo,descripcion,id_emprendimiento
1,Equipo Impacto 1,Equipo Impacto 1 es buen equipo,1
2,Equipo Orion 2,Equipo Orion 2 es buen equipo,2
3,Equipo Nexus 3,Equipo Nexus 3 es buen equipo,3
4,Equipo Fenix 4,Equipo Fenix 4 es buen equipo,4
5,Equipo Fenix 5,Equipo Fenix 5 es buen equipo,5
6,Equipo Beta 6,Equipo Beta 6 es buen equipo,6
7,Equipo Impacto 7,Equipo Impacto 7 es buen equipo,7
8,Equipo Titan 8,Equipo Titan 8 es buen equipo,8
9,Equipo Orion 9,Equipo Orion 9 es buen equipo,9
10,Horizonte 10,Horizonte 10 es buen equipo,10
11,Equipo Nexus 11,Equipo Nexus 11 es buen equipo,11
12,Equipo Beta 12,Equipo Beta 12 es buen equipo,12
13,Equipo Orion 13,Equipo Orion 13 es buen equipo,13
14,Los Leones 14,Los Leones 14 es buen equipo,14
15,Fuerza Emprende 15,Fuerza Emprende 15 es buen equipo,15
16,Equipo Beta 16,Equipo Beta 16 es buen equipo,16
17,Equipo Titan 17,Equipo Titan 17 es buen equipo,17
18,Equipo Beta 18,Equipo Beta 18 es buen equipo,18
19,Equipo Beta 19,Equipo Beta 19 es buen equipo,19
20,Equipo Titan 20,Equipo Titan 20 es buen equipo,20
21,Equipo Titan 21,Equipo Titan 21 es buen equipo,21
22,Meta Futura 22,Meta Futura 22 es buen equipo,22
23,Impulso Digital 23,Impulso Digital 23 es buen equipo,23
24,Equipo Atlas 24,Equipo Atlas 24 es buen equipo,24
25,Startup Nueva 25,Startup Nueva 25 es buen equipo,25
26,Equipo Impacto 26,Equipo Impacto 26 es buen equipo,26
27,Equipo Orion 27,Equipo Orion 27 es buen equipo,27
28,Equipo Orion 28,Equipo Orion 28 es buen equipo,28
29,Equipo Titan 29,Equipo Titan 29 es buen equipo,29
30,Visionarios 30,Visionarios 30 es buen equipo,30
31,Equipo Orion 31,Equipo Orion 31 es buen equipo,31
32,Equipo Alfa 32,Equipo Alfa 32 es buen equipo,32
