id,nombre,descripcion,anio,inversion_recibida,id_etapa,id_departamento,id_sector,id_equipo,ingresos_anuales,empleados
1,Tecnologia 1 LTDA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2019,350056,1,1,1,1,6440650,177
2,Biotecnologia 2 SA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2021,3197494,1,2,2,2,1252340,77
3,Salud 3 LTDA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2022,3966712,2,3,3,3,696450,274
4,Biotecnologia 4 SAS,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2023,4547428,3,3,2,4,8236016,97
5,Movilidad 5 LTDA,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2020,3311567,4,4,4,5,1309615,50
6,Salud 6 LTDA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2023,531020,4,5,3,6,4906843,252
7,Agroindustria 7 Corp,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2022,115161,1,6,5,7,2340354,227
8,Salud 8 SAS,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2016,3663947,1,7,3,8,223633,19
9,Logistica 9 SPA,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2021,229583,2,8,6,9,2829090,195
10,Finanzas 10 SAS,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2019,2472719,5,3,7,10,6610686,90
11,Ciberseguridad 11 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2025,2962151,1,9,8,11,7625114,160
12,Salud 12 SA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2023,1182355,4,10,3,12,5844162,179
13,Logistica 13 Corp,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2020,3370093,2,11,6,13,801834,13
14,Logistica 14 Corp,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2024,732469,2,11,6,14,5803450,74
15,Movilidad 15 SPA,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2024,2886503,3,8,4,15,6720645,8
16,Biotecnologia 16 Corp,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2020,3065342,3,12,2,16,7139209,103
17,Inteligencia Artificial 17 SAS,Empresa empresa del sector inteligencia artificial enfocada en innovacion y crecimiento sostenible.,2023,1496988,2,13,9,17,9458974,262
